ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
25402,21,KY,1,KY,34660,"Murray, KY"
25500,17,IL,1,IL,16460,"Centralia, IL"
25601,17,IL,1,IL,16060,"Carbondale-Marion, IL"
25602,17,IL,1,IL,NA,NA
25701,29,MO,1,MO,16020,"Cape Girardeau, MO-IL"
25702,29,MO,1,MO,38740,"Poplar Bluff, MO"
25800,05,AR,2,MO; AR,14180,"Blytheville, AR"
25900,05,AR,1,AR,27860,"Jonesboro, AR"
26001,27,MN,1,MN,NA,NA
26002,27,MN,2,MN; WI,20260,"Duluth, MN-WI"
26003,27,MN,1,MN,NA,NA
26004,27,MN,1,MN,NA,NA
26101,29,MO,1,MO,33620,"Moberly, MO"
26102,29,MO,1,MO,32180,"Marshall, MO"
26103,29,MO,1,MO,NA,NA
26104,29,MO,1,MO,NA,NA
26105,29,MO,1,MO,NA,NA
26106,19,IA,1,IA,NA,NA
26107,29,MO,1,MO,28860,"Kirksville, MO"
26201,38,ND,1,ND,13900,"Bismarck, ND"
26202,38,ND,1,ND,NA,NA
26203,38,ND,1,ND,NA,NA
26204,38,ND,1,ND,NA,NA
26301,38,ND,1,ND,NA,NA
26302,38,ND,1,ND,NA,NA
26303,38,ND,1,ND,NA,NA
26304,38,ND,1,ND,33500,"Minot, ND"
26305,38,ND,1,ND,NA,NA
26401,46,SD,2,MT; SD,NA,NA
26402,30,MT,1,MT,NA,NA
26403,38,ND,1,ND,NA,NA
26404,38,ND,2,ND; SD,NA,NA
26405,30,MT,1,MT,NA,NA
26406,30,MT,1,MT,NA,NA
26407,30,MT,1,MT,NA,NA
26408,30,MT,1,MT,NA,NA
26409,30,MT,2,MT; ND,NA,NA
26410,38,ND,1,ND,19860,"Dickinson, ND"
26411,38,ND,2,MT; ND,NA,NA
26412,38,ND,1,ND,48780,"Williston, ND"
26501,46,SD,1,SD,15100,"Brookings, SD"
26502,46,SD,1,SD,NA,NA
26503,46,SD,1,SD,43620,"Sioux Falls, SD"
26504,46,SD,1,SD,47980,"Watertown, SD"
26601,27,MN,2,MN; SD,NA,NA
26602,46,SD,1,SD,NA,NA
26603,46,SD,2,ND; SD,NA,NA
26604,46,SD,1,SD,NA,NA
26605,46,SD,1,SD,10100,"Aberdeen, SD"
26701,27,MN,1,MN,13420,"Bemidji, MN"
26702,38,ND,2,MN; ND,NA,NA
26703,27,MN,1,MN,NA,NA
26704,38,ND,2,MN; ND,24220,"Grand Forks, ND-MN"
26801,38,ND,2,MN; ND,22020,"Fargo, ND-MN"
26802,38,ND,1,ND,NA,NA
26803,38,ND,1,ND,27420,"Jamestown, ND"
26804,38,ND,1,ND,NA,NA
26901,27,MN,1,MN,22260,"Fergus Falls, MN"
26902,27,MN,1,MN,NA,NA
27001,31,NE,1,NE,NA,NA
27002,31,NE,1,NE,NA,NA
27003,31,NE,1,NE,NA,NA
27004,46,SD,1,SD,NA,NA
27005,46,SD,2,NE; SD,49460,"Yankton, SD"
27006,46,SD,1,SD,33580,"Mitchell, SD"
27007,46,SD,1,SD,26700,"Huron, SD"
27008,46,SD,1,SD,NA,NA
27009,46,SD,1,SD,NA,NA
27010,46,SD,1,SD,NA,NA
27011,46,SD,1,SD,38180,"Pierre, SD"
27012,46,SD,1,SD,NA,NA
27101,27,MN,1,MN,48820,"Willmar, MN"
27102,27,MN,1,MN,32140,"Marshall, MN"
27201,19,IA,1,IA,NA,NA
27202,27,MN,2,IA; MN,49380,"Worthington, MN"
27301,19,IA,1,IA,NA,NA
27302,27,MN,2,IA; MN,NA,NA
27401,19,IA,1,IA,44740,"Storm Lake, IA"
27402,19,IA,1,IA,22700,"Fort Dodge, IA"
27501,19,IA,1,IA,19780,"Des Moines-West Des Moines, IA"
27502,19,IA,1,IA,NA,NA
27503,19,IA,1,IA,NA,NA
27504,19,IA,1,IA,NA,NA
27601,46,SD,1,SD,39660,"Rapid City, SD"
27602,46,SD,1,SD,NA,NA
27603,46,SD,1,SD,NA,NA
27604,46,SD,1,SD,NA,NA
27605,46,SD,1,SD,NA,NA
27701,31,NE,1,NE,42420,"Scottsbluff, NE"
27702,56,WY,2,NE; WY,16940,"Cheyenne, WY"
27703,56,WY,1,WY,NA,NA
27704,NA,NA,3,NE; SD; NA,NA,NA
27801,31,NE,1,NE,35740,"Norfolk, NE"
27802,31,NE,1,NE,18100,"Columbus, NE"
27901,31,NE,1,NE,25580,"Hastings, NE"
27902,31,NE,1,NE,NA,NA
27903,31,NE,1,NE,24260,"Grand Island, NE"
28001,19,IA,3,IA; NE; SD,43580,"Sioux City, IA-NE-SD"
28002,31,NE,1,NE,NA,NA
28101,31,NE,1,NE,30700,"Lincoln, NE"
28102,31,NE,1,NE,NA,NA
28201,19,IA,1,IA,NA,NA
28202,31,NE,2,IA; NE,36540,"Omaha-Council Bluffs, NE-IA"
28301,08,CO,1,CO,44540,"Sterling, CO"
28302,31,NE,2,NE; CO,NA,NA
28303,31,NE,1,NE,NA,NA
28304,31,NE,1,NE,NA,NA
28305,31,NE,1,NE,NA,NA
28306,31,NE,1,NE,35820,"North Platte, NE"
28401,08,CO,1,CO,17820,"Colorado Springs, CO"
28402,08,CO,1,CO,NA,NA
28501,08,CO,1,CO,NA,NA
28502,08,CO,1,CO,39380,"Pueblo, CO"
28503,08,CO,1,CO,NA,NA
28504,08,CO,1,CO,NA,NA
28601,20,KS,1,KS,NA,NA
28602,20,KS,1,KS,NA,NA
28603,20,KS,1,KS,NA,NA
28604,20,KS,1,KS,NA,NA
28605,20,KS,1,KS,NA,NA
28606,20,KS,2,KS; NE,NA,NA
28607,31,NE,1,NE,NA,NA
28608,31,NE,1,NE,28260,"Kearney, NE"
28609,31,NE,1,NE,30420,"Lexington, NE"
28701,08,CO,1,CO,NA,NA
28702,08,CO,1,CO,24060,"Glenwood Springs, CO"
28703,08,CO,1,CO,NA,NA
28704,56,WY,2,WY; CO,29660,"Laramie, WY"
28800,08,CO,1,CO,22660,"Fort Collins, CO"
28900,08,CO,1,CO,19740,"Denver-Aurora-Lakewood, CO"
29001,20,KS,1,KS,NA,NA
29002,20,KS,1,KS,NA,NA
29003,20,KS,1,KS,19980,"Dodge City, KS"
29004,20,KS,1,KS,24460,"Great Bend, KS"
29005,20,KS,1,KS,26740,"Hutchinson, KS"
29006,20,KS,1,KS,25700,"Hays, KS"
29007,20,KS,1,KS,NA,NA
29008,20,KS,1,KS,NA,NA
29101,20,KS,1,KS,NA,NA
29102,31,NE,1,NE,NA,NA
29103,20,KS,1,KS,NA,NA
29104,20,KS,1,KS,41460,"Salina, KS"
29201,20,KS,1,KS,NA,NA
29202,20,KS,1,KS,NA,NA
29203,20,KS,1,KS,31740,"Manhattan, KS"
29204,20,KS,1,KS,45820,"Topeka, KS"
29301,20,KS,1,KS,48620,"Wichita, KS"
29302,20,KS,1,KS,48620,"Wichita, KS"
29303,20,KS,1,KS,11680,"Arkansas City-Winfield, KS"
29401,20,KS,1,KS,36840,"Ottawa, KS"
29402,20,KS,1,KS,21380,"Emporia, KS"
29403,20,KS,2,KS; OK,12780,"Bartlesville, OK"
29501,20,KS,1,KS,28140,"Kansas City, MO-KS"
29502,29,MO,2,KS; MO,28140,"Kansas City, MO-KS"
29503,29,MO,2,KS; MO,41140,"St. Joseph, MO-KS"
29504,29,MO,1,MO,42740,"Sedalia, MO"
29505,29,MO,1,MO,32340,"Maryville, MO"
29506,29,MO,1,MO,NA,NA
29601,29,MO,1,MO,17860,"Columbia, MO"
29602,29,MO,1,MO,NA,NA
29700,29,MO,1,MO,44180,"Springfield, MO"
